% Model:              Sph.mph
% Version:            COMSOL 6.1.0.282
% Date:               Jan 27 2025, 17:23
% Dimension:          3
% Nodes:              8372
% Expressions:        3
% Description:        magnetization deviation, X component, magnetization deviation, Y component, magnetization deviation, Z component
% Length unit:        nm
% x                       y                        z                        dm2X (1) @ lambda=2E-9                            dm2Y (1) @ lambda=2E-9                            dm2Z (1) @ lambda=2E-9
2.65883566880778E-7       1.4205404249172224E-7    2.3465178430388293E-7    0.03104045799156433+0.012113806156313524i         0.012113806156300262-0.031040457991555474i        0
2.7455237177651746E-7     1.1216871300665661E-7    2.4029712120223874E-7    0.031040458673301456+0.012113806422367465i        0.012113806422354092-0.03104045867329271i         0
2.536294995878642E-7      9.999482031022247E-8     2.4816716333022925E-7    0.03104045933744312+0.0121138066815544i           0.012113806681541082-0.031040459337434375i        0
2.5531401387722176E-7     8.825479807503613E-8     2.735745929309214E-7     0.031040461524962527+0.012113807535252732i        0.012113807535239416-0.03104046152495389i         0
2.7409374308750476E-7     4.418258481116088E-8     2.701001704260686E-7     0.031040461569428295+0.012113807552605818i        0.012113807552592473-0.031040461569419437i        0
2.6032132683296154E-7     6.326057086534908E-8     2.616742739695948E-7     0.031040460708332003+0.012113807216555559i        0.012113807216542267-0.031040460708323146i        0
2.5844271180685756E-7     3.019059253944051E-8     2.721241708739539E-7     0.03104046177597634+0.012113807633212955i         0.012113807633199664-0.031040461775967317i        0
2.459785615894797E-7      2.1031451857195817E-8    2.9743754732516826E-7    0.03104046389565028+0.012113808460434049i         0.012113808460420759-0.031040463895641534i        0
2.4467029555231434E-7     4.92685785936287E-8      2.6369827441748014E-7    0.031040460914879713+0.012113807297162639i        0.012113807297149264-0.031040460914870966i        0
2.0067771554912584E-7     9.182267334095931E-8     3.1826050512744217E-7    0.03104046504249758+0.01211380890800107i          0.012113808907987751-0.031040465042488835i        0
2.1778693103678572E-7     1.0920803970104341E-7    3.0074983753208014E-7    0.031040463533743172+0.012113808319196616i        0.012113808319183354-0.031040463533734314i        0
2.254765121625599E-7      9.388594431651175E-8     2.8308962658970365E-7    0.03104046218704906+0.012113807793637708i         0.012113807793624308-0.031040462187040315i        0
2.0539494701683964E-7     1.3175859917400154E-7    2.8678706772943316E-7    0.031040462195671057+0.012113807797002569i        0.012113807796989224-0.03104046219566231i         0
