% Model:              Sph.mph
% Version:            COMSOL 6.1.0.282
% Date:               Jan 27 2025, 17:23
% Dimension:          3
% Nodes:              8372
% Expressions:        3
% Description:        magnetization deviation, X component, magnetization deviation, Y component, magnetization deviation, Z component
% Length unit:        nm
% x                       y                        z                        dm2X (1) @ lambda=2E-9                            dm2Y (1) @ lambda=2E-9                            dm2Z (1) @ lambda=2E-9
-2.0621075956911676E-8    -1.8220640674337364E-7   3.3720438490157477E-7    0.03104046763448658+0.012113809919547108i         0.012113809919533819-0.031040467634477834i        0
3.076518171873248E-8      -1.521312601913089E-7    2.3629216375306602E-7    0.031040459229751884+0.01211380663952693i         0.012113806639513554-0.03104045922974308i         0
5.3704161782835834E-8     -1.450392773461037E-7    2.3309052947703584E-7    0.03104045899106938+0.012113806546379058i         0.01211380654636577-0.031040458991060522i         0
6.755697112456344E-8      -8.49173993220707E-8     2.3535264710740242E-7    0.031040458847382553+0.012113806490304017i        0.012113806490290698-0.03104045884737364i         0
4.8194367625686604E-8     -8.097078719865399E-8    2.471413628499036E-7     0.031040459741256438+0.012113806839145928i        0.012113806839132608-0.031040459741247414i        0
7.757728890534965E-8      -1.0490868444005234E-7   2.316714971191147E-7     0.031040458697462907+0.01211380643179669i         0.012113806431783204-0.03104045869745416i         0
6.484546000127464E-8      -1.1934400253159136E-7   2.4468318840444665E-7    0.031040459827968627+0.012113806872986162i        0.012113806872972872-0.03104045982795988i         0
2.646866983510831E-8      -1.2384620730873916E-7   2.471125505950705E-7     0.03104045993844251+0.012113806916099618i         0.01211380691608627-0.031040459938433653i         0
4.678879722359242E-8      -1.0695999161162411E-7   2.5328400645251235E-7    0.031040460408703185+0.012113807099622844i        0.012113807099609554-0.03104046040869416i         0
1.4095622453692091E-8     6.065740446730902E-8     2.8079456791975127E-7    0.031040461546728633+0.012113807543747144i        0.012113807543733854-0.031040461546719886i        0
-1.0671884684976055E-8    5.0202111107491585E-8    3.060171317862123E-7     0.03104046362870939+0.012113808356258082i         0.012113808356244737-0.031040463628700367i        0
4.1920343490274185E-8     2.838391774791929E-8     2.7830006432944824E-7    0.03104046162714716+0.012113807575131145i         0.012113807575117772-0.031040461627138357i        0
2.4853718037166695E-8     2.5186755937275666E-8    2.961260904214741E-7     0.03104046307383157+0.012113808139712176i         0.012113808139698774-0.031040463073822768i        0
1.3247364536453734E-8     4.755913074556657E-8     2.996727983525202E-7     0.03104046319282979+0.012113808186152245i         0.012113808186138983-0.031040463192820934i        0
3.1171391254456616E-8     5.002644693202721E-8     2.6886019839335423E-7    0.03104046067529779+0.01211380720366367i          0.012113807203650438-0.03104046067528893i         0
1.3621867383795717E-8     -1.5283476949143105E-8   3.012327047902013E-7     0.031040463714949087+0.012113808389913862i        0.012113808389900487-0.03104046371494034i         0
1.3713917066730676E-8     6.0074412194546325E-9    2.8799155042294725E-7    0.03104046248341887+0.012113807909298526i         0.012113807909285266-0.03104046248341001i         0
2.6886974494890457E-8     -4.052666482626541E-8    2.9784584077959275E-7    0.03104046363225866+0.012113808357643169i         0.01211380835762985-0.031040463632249746i         0
1.9460163424625553E-8     -5.810736259956488E-8    2.9045597284827525E-7    0.031040463105240144+0.012113808151969704i        0.012113808151956331-0.031040463105231342i        0
3.166690750431261E-8      -5.7116029877343266E-8   2.687080723605047E-7     0.031040461331628754+0.012113807459802504i        0.012113807459789187-0.031040461331619897i        0
3.909371857457751E-8      -3.95353321040438E-8     2.760979402918222E-7     0.031040461858646385+0.012113807665475691i        0.012113807665462401-0.03104046185863764i         0
1.0165269791910504E-7     1.0434633281154822E-8    2.0863529903009147E-7    0.03104045614145479+0.012113805434292416i         0.01211380543427907-0.031040456141445988i         0
9.259173921509632E-8      4.539345187428001E-8     1.7418643719812166E-7    0.03104045303582104+0.012113804222292109i         0.012113804222278791-0.031040453035812127i        0
8.491661022306237E-8      1.7348635327708347E-8    2.1838736034404378E-7    0.031040456855934664+0.012113805713124358i        0.01211380571311104-0.031040456855925862i         0
1.1495053247572447E-7     3.103702678654854E-8     1.7844647430448207E-7    0.031040453548361255+0.012113804422315366i        0.012113804422302019-0.031040453548352397i        0
1.223820291648116E-7      2.026808652382921E-8     1.9775702055356987E-7    0.031040455241566112+0.012113805083103104i        0.012113805083089759-0.031040455241557366i        0
1.0935781629703415E-7     -8.188460370261606E-9    1.538244760047218E-7     0.031040451731378278+0.012113803713222028i        0.012113803713208793-0.031040451731369476i        0
1.0759029765463132E-7     1.472323882126888E-8     1.4594950190578408E-7    0.03104045092943613+0.012113803400257191i         0.012113803400243959-0.03104045092942705i         0
1.2586757615741183E-7     2.0973038329358912E-8    1.5985834134782907E-7    0.031040452101913547+0.012113803857826646i        0.012113803857813188-0.03104045210190441i         0
1.0467404135635943E-7     -1.1386833656363436E-8   2.0012683902879669E-7    0.0310404555804595+0.01211380521535917i           0.012113805215345852-0.03104045558045059i         0
1.2763509479981466E-7     -1.9386608621715775E-9   1.6773331544676683E-7    0.031040452903855528+0.01211380417079137i         0.01211380417077808-0.031040452903846726i         0
1.2540337260206596E-7     -1.553380413689048E-9    1.8924856055227508E-7    0.03104045468057182+0.012113804864170274i         0.012113804864156957-0.031040454680563073i        0
6.564847748320755E-8      5.609102888571555E-8     2.2406584446476315E-7    0.03104045702611934+0.012113805779540385i         0.012113805779527066-0.031040457026110538i        0
7.225674488281016E-8      3.527732534315113E-8     2.1534956873633794E-7    0.031040456452739652+0.012113805555773963i        0.012113805555760563-0.031040456452730795i        0
6.809606102735092E-8      6.507575866215815E-8     2.0269906131003054E-7    0.031040455204028063+0.012113805068453536i        0.012113805068440219-0.031040455204019206i        0
7.470432842695351E-8      4.426205511959373E-8     1.939827855816053E-7     0.031040454630649486+0.012113804844687671i        0.012113804844674381-0.03104045463064085i         0
4.137934373523449E-8      6.32274348346608E-8      2.3569281358682758E-7    0.031040457871449708+0.012113806109437856i        0.012113806109424538-0.031040457871440906i        0
2.8110464509792838E-8     4.982108683960814E-8     2.4996191224613205E-7    0.031040459098258456+0.012113806588210436i        0.012113806588197117-0.031040459098249654i        0
3.327663990554728E-8      2.7344831660666618E-8    2.413462477939111E-7     0.031040458539106468+0.01211380636999665i         0.012113806369983248-0.03104045853909761i         0
3.639004438668301E-8      1.2879872926177998E-8    2.5900016856881836E-7    0.031040460104394704+0.012113806980863867i        0.012113806980850579-0.031040460104386124i        0
6.581365187084373E-8      2.0087860977120743E-9    2.2139866501388717E-7    0.031040457142113877+0.012113805824808267i        0.01211380582479495-0.03104045714210491i          0
1.972835037972348E-8      -3.370540237744433E-9    2.6049765553795724E-7    0.031040460278165052+0.012113807048679166i        0.012113807048665876-0.03104046027815625i         0
5.3153786530591515E-8     1.9937476113154868E-8    2.1836087340618138E-7    0.031040456738918257+0.012113805667457678i        0.012113805667444388-0.031040456738909455i        0
5.7441665715920474E-8     -9.100202258672329E-10   2.481868292721961E-7     0.0310404593580569+0.01211380668959905i           0.012113806689585704-0.03104045935804782i         0
3.184304477647557E-8      -2.367012568412056E-8    2.5199090941744085E-7    0.031040459736085498+0.012113806837127941i        0.01211380683711465-0.031040459736076585i         0
5.2581784342500033E-8     -2.2624861074161382E-8   2.442649548764514E-7     0.031040459152655644+0.012113806609439467i        0.012113806609426177-0.031040459152646898i        0
-9.222210974785496E-8     1.4416827200834966E-7    3.302032393348225E-7     0.031040464797749308+0.012113808812485902i        0.012113808812472586-0.03104046479774056i         0
-7.075934117594884E-8     1.4950014190397187E-7    3.168883876834606E-7     0.031040463725913927+0.012113808394192908i        0.01211380839417956-0.031040463725905014i         0
-1.0956860189154591E-7    1.6499799848018224E-7    3.2946140607002385E-7    0.031040464552514878+0.01211380871678108i         0.01211380871676779-0.03104046455250613i          0
-1.0762691053675972E-7    1.8392584731917028E-7    2.8566081095968754E-7    0.031040460804612025+0.012113807254129746i        0.012113807254116371-0.03104046080460328i         0
-7.254407299888268E-8     1.668961680106248E-7     3.0550095011009214E-7    0.03104046266669633+0.012113807980824108i         0.012113807980810791-0.031040462666687585i        0
-9.617424262766975E-8     1.7695639098832696E-7    3.1039742985681027E-7    0.03104046293707865+0.012113808086343124i         0.012113808086329805-0.03104046293706968i         0
1.4177774744536756E-8     1.634869855946029E-7     2.109575081566404E-7     0.031040455109028645+0.012113805031379198i        0.012113805031365908-0.031040455109019843i        0
4.024002750854109E-8      1.8492822875766028E-7    1.8193377013688972E-7    0.031040452647089146+0.012113804070586123i        0.012113804070572831-0.03104045264708029i         0
3.381883752026525E-8      1.8841806530156153E-7    1.6064713299925257E-7    0.031040450838325583+0.01211380336470054i         0.01211380336468722-0.03104045083831678i          0
3.382180795274273E-8      1.477979193928699E-7     2.0262466685513866E-7    0.031040454576060594+0.01211380482338386i         0.01211380482337054-0.03104045457605179i          0
1.879177247116622E-8      1.9078777047899828E-7    1.980645168542635E-7     0.03104045388301181+0.012113804552915594i         0.012113804552902303-0.031040453883002896i        0
4.91867143679154E-8       1.5823058172267885E-7    1.8403390949511983E-7    0.03104045301553419+0.012113804214375006i         0.012113804214361604-0.031040453015525334i        0
-1.0604291186899359E-8    1.5663528349338223E-7    2.398284815502569E-7     0.031040457471382656+0.012113805953308212i        0.012113805953294922-0.03104045747137391i         0
-2.373684611503287E-8     1.470105859476503E-7     2.720628859309246E-7     0.031040460166416362+0.012113807005068315i        0.012113807005055025-0.031040460166407505i        0
-2.3293690793579104E-8    1.8036176761515158E-7    2.4823469742192997E-7    0.03104045798198414+0.012113806152574902i         0.012113806152561583-0.031040457981975505i        0
-9.529660921382463E-9     1.5378941182660422E-7    2.158388216127544E-7     0.03104045550098912+0.012113805184345131i         0.012113805184331815-0.03104045550098015i         0
-4.939111859147404E-8     1.747870522619438E-7     2.67930579551011E-7      0.0310404595706416+0.012113806772562153i          0.012113806772548863-0.031040459570632797i        0
-1.1178313159576856E-8    1.3879345917303468E-7    2.5409231546074775E-7    0.031040458764827944+0.012113806458086334i        0.012113806458072989-0.03104045876481903i         0
-2.976887512683291E-8     1.722866903386203E-7     2.6866527853475197E-7    0.03104045970817497+0.012113806826235682i         0.012113806826222364-0.031040459708166112i        0
1.188200333926626E-8      9.572424791103567E-8     2.2419555675336437E-7    0.031040456622941196+0.012113805622196591i        0.012113805622183327-0.03104045662293234i         0
-1.7329455934756052E-8    1.1923556779884314E-7    2.3375121536817796E-7    0.031040457178965048+0.012113805839189813i        0.012113805839176438-0.03104045717895625i         0
-6.5318300124482904E-9    1.0340101427281612E-7    2.389943265494849E-7     0.0310404577464017+0.012113806060636747i          0.012113806060623455-0.031040457746392844i        0
1.87613428596447E-8       7.723031014839955E-8     2.216185779800659E-7     0.031040456545597117+0.01211380559201254i         0.012113805591999139-0.031040456545588315i        0
-1.0602153873204305E-8    1.3028260386508038E-7    2.109138770548958E-7     0.031040455235251913+0.012113805080638935i        0.012113805080625643-0.03104045523524311i         0
1.4512364869410614E-8     1.2636755550148412E-7    1.9972706022654108E-7    0.031040454409018606+0.012113804758194263i        0.012113804758180918-0.03104045440900986i         0
2.6198896159573422E-8     1.0764375307346646E-7    2.077656287437027E-7     0.031040455229273123+0.012113805078305652i        0.012113805078292333-0.031040455229264154i        0
-1.2609916237546612E-7    1.8174815713537003E-7    2.7812968360093904E-7    0.031040460135598354+0.012113806993041341i        0.012113806993027968-0.031040460135589608i        0
-1.0972626186061517E-7    -7.831338113172093E-9    3.6991825991953664E-7    0.031040468987080717+0.012113810447408599i        0.01211381044739528-0.031040468987072026i         0
-1.0751798634347594E-7    1.9484714506994102E-8    3.700163768533294E-7     0.031040468831929485+0.012113810386859554i        0.012113810386846235-0.031040468831920794i        0
-9.090374904316564E-8     2.669743030955671E-7     2.6315936298065986E-7    0.031040458471323255+0.012113806343543745i        0.0121138063435304-0.031040458471314508i          0
-1.1519200794991102E-7    2.2797063056949067E-7    2.8708171466968534E-7    0.0310404606246939+0.012113807183915082i          0.01211380718390179-0.031040460624685098i         0
-1.0183297165310232E-7    2.43689592045417E-7      2.627755046843316E-7     0.031040458550545123+0.012113806374460615i        0.012113806374447325-0.03104045855053627i         0
-1.3499575146094614E-7    2.0947582558043675E-7    2.724995908332706E-7     0.031040459467858494+0.012113806732450057i        0.01211380673243682-0.03104045946784958i          0
-1.0996010238258421E-7    2.8133834560576454E-7    2.3997213064075E-7       0.03104045639778683+0.012113805534328243i         0.012113805534314868-0.031040456397778082i        0
-9.16230760947211E-8      3.0336004010761154E-7    2.1935107610653512E-7    0.031040454605763015+0.012113804834975471i        0.012113804834962126-0.031040454605754213i        0
-9.543304571733211E-8     2.9265405259848685E-7    1.9587729608277194E-7    0.031040452711978483+0.01211380409590974i         0.012113804095896479-0.031040452711969625i        0
-1.586816152903939E-7     2.071413273720582E-7     2.7902354558982384E-7    0.031040459950380805+0.012113806920758613i        0.012113806920745266-0.03104045995037206i         0
1.002641652736408E-7      3.140025207104922E-7     -1.4070172716552474E-7   0.031040425246526816+0.012113793377280609i        0.012113793377267236-0.03104042524651807i         0
1.192910818341428E-7      3.0009081197786916E-7    -1.8138551854170018E-7   0.031040422015010807+0.012113792116153647i        0.012113792116140302-0.03104042201500195i         0
1.2023783969947347E-7     2.9760852822546464E-7    -1.5594573096144334E-7   0.03104042414525688+0.01211379294750056i          0.012113792947487188-0.031040424145248244i        0
1.5868826059413968E-7     1.9529060917993024E-7    -1.2739057319423513E-7   0.031040427272547952+0.012113794167952833i        0.01211379416793943-0.03104042727253926i          0
1.7213727795078983E-7     2.0650938975753327E-7    -1.5309243453065912E-7   0.031040425110856838+0.012113793324334265i        0.012113793324320974-0.03104042511084809i         0
1.7148225528450807E-7     2.502766241052914E-7     -1.1534569772408428E-7   0.03104042796966391+0.012113794440008218i         0.012113794439994875-0.031040427969655053i        0
1.8357617011631095E-7     2.2743069954292153E-7    -1.4909624410476576E-7   0.031040425347811554+0.01211379341680785i         0.012113793416794558-0.03104042534780292i         0
1.5078963543364213E-7     2.6323474885678296E-7    -1.1234319140414511E-7   0.031040428073897983+0.012113794480686547i        0.012113794480673255-0.03104042807388896i         0
1.7287167976471962E-7     2.430607359597541E-7     -1.6083849423945766E-7   0.03104042424242458+0.01211379298542111i          0.012113792985407736-0.03104042424241589i         0
1.2639959951085504E-7     2.6655873043690767E-7    -1.5436720082429142E-7   0.03104042448885901+0.012113793081594212i         0.012113793081580894-0.031040424488850263i        0
1.7156358809032677E-7     2.558789780247889E-7     -1.4022258642840322E-7   0.031040425869906265+0.012113793620559801i        0.012113793620546539-0.031040425869897408i        0
1.508709682394608E-7      2.688371027762805E-7     -1.3722008010846403E-7   0.031040425974139346+0.01211379366123766i         0.012113793661224313-0.031040425974130377i        0
1.7325201319414132E-7     2.31226499303704E-7      -1.248599516182107E-7    0.031040427304020998+0.012113794180235444i        0.012113794180222182-0.0310404273040122i          0
1.5362188351949025E-7     2.157789465699594E-7     -1.1225783941166145E-7   0.031040428385397365+0.012113794602251869i        0.012113794602238524-0.031040428385388508i        0
1.1649974204874462E-7     2.680263405677405E-7     -9.216793177863716E-8    0.03104042961231995+0.012113795081069047i         0.01211379508105573-0.031040429612311203i         0
1.1213578123829672E-7     2.1100620106466365E-7    -6.921305586971682E-8    0.031040431859513436+0.012113795958055623i        0.012113795958042278-0.03104043185950469i         0
9.383120849242721E-8      2.485154851681175E-7     -6.882908765631027E-8    0.03104043160085856+0.012113795857113342i         0.01211379585709994-0.031040431600849704i         0
1.2622340923561765E-7     2.2434567623810777E-7    -7.711733730348421E-8    0.03104043116403043+0.012113795686637455i         0.012113795686624082-0.031040431164021796i        0
1.288853209430494E-7      2.5301968606778264E-7    -1.1270339981147349E-7   0.031040428039567802+0.012113794467288937i        0.012113794467275564-0.031040428039559056i        0
1.134300174622204E-7      2.5976375603266213E-7    -1.3347090520280136E-7   0.031040426225556594+0.012113793759355451i        0.012113793759342104-0.03104042622554779i         0
9.43421007994203E-8       2.2443695898957098E-7    -6.677073031904885E-8    0.031040431923308694+0.012113795982952189i        0.01211379598293887-0.03104043192329978i          0
1.1474974936578416E-7     2.5009930758159566E-7    -7.273698205684719E-8    0.031040431331581134+0.01211379575202547i         0.012113795752012152-0.031040431331572332i        0
1.2994781111926425E-7     2.2461400858254644E-7    -1.0310379392486339E-7   0.03104042901671064+0.01211379484862731i          0.01211379484861402-0.031040429016701728i         0
1.493772545543298E-7      2.3701518655752584E-7    -1.7678522413000772E-7   0.031040422883293464+0.012113792455008411i        0.012113792454995094-0.031040422883284662i        0
1.543622988231606E-7      2.1092449524799914E-7    -1.6704106920826243E-7   0.031040423870202692+0.01211379284015832i         0.012113792840144973-0.031040423870193946i        0
1.5805223177356029E-7     1.9722287476423692E-7    -1.8575056637506473E-7   0.03104042241388216+0.012113792271816685i         0.012113792271803338-0.031040422413873357i        0
1.2359779415133118E-7     2.4755505628318793E-7    -1.7331643703478056E-7   0.031040423025492588+0.012113792510502795i        0.012113792510489533-0.031040423025483842i        0
1.5212926307074663E-7     2.0944411143456055E-7    -2.1165757292704147E-7   0.03104042016872253+0.012113791395623748i         0.012113791395610373-0.031040420168713563i        0
1.5073360433617483E-7     2.3301568933267593E-7    -2.0313542052822776E-7   0.031040420725006252+0.012113791612718309i        0.012113791612704962-0.031040420724997506i        0
1.8854845347200107E-7     1.1297155151326233E-7    -1.0828023734614535E-7   0.0310404294645278+0.012113795023391908i          0.012113795023378508-0.031040429464518942i        0
1.8174951050633215E-7     1.3119008359792626E-7    -1.2197594739153007E-7   0.031040428192988818+0.012113794527162772i        0.012113794527149509-0.031040428192980127i        0
1.6627895451254352E-7     1.5288457454474343E-7    -1.0493445491284414E-7   0.03104042942444892+0.01211379500775061i          0.012113795007737347-0.031040429424440005i        0
1.8233163535350057E-7     1.2047937000276598E-7    -7.980464883746184E-8    0.031040431762294363+0.012113795920115099i        0.012113795920101783-0.031040431762285672i        0
1.402987480437989E-7      1.570530314001446E-7     -1.1142800574607565E-7   0.031040428778706844+0.012113794755744301i        0.01211379475573104-0.03104042877869821i          0
1.1708319297115075E-7     2.0545026079155707E-7    -1.0864301601812168E-7   0.03104042863628456+0.012113794700162763i         0.012113794700149418-0.03104042863627576i         0
1.0520850638383904E-7     1.9637838911296854E-7    -8.604919064802398E-8    0.031040430531488562+0.012113795439782468i        0.012113795439769122-0.03104043053147976i         0
1.3503781928861613E-7     1.8615454388627593E-7    -1.1979515671786644E-7   0.031040427886494703+0.01211379440755082i         0.01211379440753753-0.031040427886485956i         0
8.210036782242609E-8      1.9761306709820173E-7    -8.497854295454683E-8    0.031040430540875043+0.012113795443445603i        0.012113795443432312-0.03104043054086624i         0
7.404644509718267E-8      2.1519299247571293E-7    -7.55314264607516E-8     0.03104043119057511+0.012113795696996634i         0.012113795696983344-0.0310404311905662i          0
1.8122433817900005E-7     1.0272909714537936E-7    -3.0523522034117987E-7   0.031040413155696396+0.012113788658729844i        0.012113788658716554-0.031040413155687594i        0
1.7995654920148252E-7     1.218729656574891E-7     -2.840083721487102E-7    0.031040414794614963+0.012113789298331935i        0.012113789298318618-0.031040414794606216i        0
1.5456319385551026E-7     1.559194573931343E-7     -3.008537989048539E-7    0.031040413105236305+0.012113788639037438i        0.012113788639024091-0.03104041310522756i         0
1.6485229700362685E-7     1.429940628459256E-7     -2.8644818815283965E-7   0.031040414413578063+0.01211378914962906i         0.012113789149615688-0.03104041441356915i         0
1.9646602787622787E-7     6.551224244749125E-8     -2.1682890499281093E-7   0.031040420773785844+0.01211379163175489i         0.012113791631741628-0.031040420773776986i        0
1.9394245951933488E-7     7.757558326550744E-8     -2.356349070793212E-7    0.031040419129650384+0.012113790990116936i        0.012113790990103509-0.03104041912964147i         0
1.4475303559053652E-7     1.4524163372929493E-7    -2.653176918241509E-7    0.031040416091238095+0.012113789804350253i        0.01211378980433688-0.03104041609122918i          0
1.458469811676036E-7      1.605932395935645E-7     -2.492167036629459E-7    0.031040417335603202+0.012113790289974533i        0.012113790289961242-0.031040417335594515i        0
1.3869824894930983E-7     1.7849106549370462E-7    -2.448916081464788E-7    0.03104041756094033+0.012113790377914286i         0.012113790377900939-0.031040417560931528i        0
1.329690784878889E-7      1.8848286651246287E-7    -2.2539013754062688E-7   0.031040419099779053+0.012113790978459344i        0.012113790978446053-0.031040419099770362i        0
-7.570003762862874E-8     3.7368369986614923E-7    -3.280311833171994E-8    0.031040433285029437+0.0121137965143755i          0.012113796514362209-0.031040433285020527i        0
9.757811999566326E-8      3.1953297496999343E-7    -1.8311603549345292E-7   0.031040421682780404+0.01211379198649788i         0.012113791986484507-0.031040421682771546i        0
7.56802969331605E-8       3.5183006456673944E-7    -1.4725452240603238E-7   0.03104042439053406+0.012113793043222026i         0.012113793043208709-0.031040424390525314i        0
8.281988685167528E-8      3.2565594047526337E-7    -1.5917509578485527E-7   0.031040423586197734+0.012113792729322857i        0.01211379272930951-0.031040423586188987i         0
4.7011532602908795E-8     3.561634738239993E-7     -1.477799244582204E-7    0.031040424230847206+0.01211379298090288i         0.01211379298088959-0.031040424230838404i         0
2.0082055685304015E-8     3.631393470233953E-7     -1.1257153495804567E-7   0.031040427026481618+0.012113794071923317i        0.012113794071910027-0.03104042702647282i         0
3.31591468736836E-8       3.687569858220105E-7     -8.926728673430528E-8    0.031040428966683787+0.012113794829104036i        0.012113794829090578-0.031040428966675096i        0
3.72331796169325E-8       3.483294554277264E-7     -1.241702145454671E-7    0.03104042620918463+0.01211379375296607i          0.012113793752952752-0.03104042620917583i         0
5.0920165091537645E-8     3.556868944991558E-7     -8.505473331603832E-8    0.03104042945298348+0.012113795018886635i         0.012113795018873316-0.031040429452974676i        0
3.4697384471153844E-8     3.2036640272582785E-7    -6.285962186772055E-8    0.03104043146508699+0.012113795804127359i         0.01211379580411393-0.031040431465078133i         0
5.4994197834786534E-8     3.4094999855410464E-7    -1.0119839032250878E-7   0.031040428217304034+0.012113794536651994i        0.012113794536638649-0.03104042821729512i         0
1.8764181452471713E-8     3.551464045190234E-7     -6.912969506471366E-8    0.031040430678426996+0.012113795497126493i        0.012113795497113148-0.031040430678418305i        0
3.6525199670325746E-8     3.420763131961688E-7     -6.491714164644671E-8    0.031040431164727076+0.012113795686909314i        0.012113795686895969-0.031040431164718274i        0
6.566428495320974E-8      3.043928951797272E-7     -7.410369722201185E-8    0.031040430727401973+0.012113795516239399i        0.012113795516226052-0.031040430727393282i        0
8.197730258924915E-8      3.1401795584676523E-7    -1.0628483514045557E-7   0.03104042804666991+0.012113794470060637i         0.01211379447004729-0.031040428046661163i         0
5.475467118130734E-8      3.178373572152636E-7     -1.0114849384703282E-7   0.031040428364678303+0.012113794594166043i        0.012113794594152755-0.031040428364669557i        0
9.366532199592164E-8      2.778318932852551E-7     -1.0096496731566625E-7   0.031040428750018455+0.012113794744548448i        0.012113794744535129-0.03104042875000971i         0
9.280853881940666E-8      2.738369122450324E-7     -1.2757839680350013E-7   0.031040426562972998+0.012113793891035144i        0.012113793891021827-0.03104042656296425i         0
4.885282323888652E-8      3.108643426899738E-7     -8.29473170618362E-8     0.031040429900715+0.012113795193617702i           0.012113795193604327-0.031040429900706087i        0
6.402819141364123E-8      2.7907292608890966E-7    -7.637415091876299E-8    0.031040430691565268+0.012113795502253822i        0.012113795502240477-0.031040430691556466i        0
8.727112390494918E-8      3.0276066044734235E-7    -9.080602613554928E-8    0.03104042941818998+0.012113795005308129i         0.012113795005294782-0.031040429418181067i        0
7.69341317332601E-8       2.628569737249263E-7     -8.892303587838819E-8    0.031040429790955285+0.012113795150782918i        0.012113795150769626-0.031040429790946483i        0
8.58044464422086E-8       2.970258791343055E-7     -1.3323068862907153E-7   0.031040425927545842+0.012113793643054146i        0.012113793643040771-0.031040425927536985i        0
3.7593498781390254E-8     3.386591529214634E-7     -1.593329663282855E-7    0.031040423351567113+0.012113792637756315i        0.012113792637742942-0.03104042335155831i         0
2.7815145795413957E-8     3.3082513452519053E-7    -1.3572325641553221E-7   0.03104042532990476+0.01211379340981959i          0.012113793409806244-0.03104042532989585i         0
5.9181660852203744E-8     3.142876193353818E-7     -1.6330699559394313E-7   0.03104042324056523+0.012113792594436805i         0.012113792594423432-0.03104042324055637i         0
4.202419129423347E-8      3.095150836917439E-7     -1.2772681582689101E-7   0.031040426170611094+0.012113793737912359i        0.012113793737899042-0.031040426170602292i        0
5.7978869832041695E-8     2.990486551412745E-7     -1.4549662547490057E-7   0.03104042481025205+0.012113793207020582i         0.012113793207007239-0.031040424810243137i        0
6.575615355194215E-8      2.4973268175032803E-7    -1.0273014614055201E-7   0.031040428691803915+0.01211379472182974i         0.01211379472181634-0.031040428691795168i         0
7.041149733411507E-8      2.0856730130214986E-7    -1.0084401055397205E-7   0.03104042911927476+0.01211379488865386i          0.012113794888640513-0.03104042911926585i         0
7.12193909444701E-8       2.5806057412868573E-7    -1.2740554593241685E-7   0.03104042660851839+0.012113793908809605i         0.012113793908796203-0.03104042660850948i         0
6.235757460887165E-8      2.2614722667966106E-7    -9.139689406017684E-8    0.031040429768974833+0.012113795142204918i        0.012113795142191656-0.03104042976896603i         0
5.650810936487445E-8      2.622961946496624E-7     -1.439146198496787E-7    0.031040425165950583+0.012113793345835075i        0.012113793345821702-0.031040425165941726i        0
5.027168062964408E-8      2.800953087729781E-7     -1.5635340756659105E-7   0.031040424003113232+0.012113792892027719i        0.012113792892014374-0.03104042400310432i         0
1.1225552480784236E-7     2.5560008474248677E-7    -1.937281101395115E-7    0.031040421245696996+0.012113791815922297i        0.01211379181590895-0.031040421245688416i         0
9.2397610463556E-8        2.9652820564073534E-7    -2.0194917846103195E-7   0.031040420246584828+0.012113791426010089i        0.012113791425996827-0.031040420246576026i        0
1.1411057230203558E-7     2.770860426486111E-7     -2.0021866150927924E-7   0.031040420578816674+0.012113791555666494i        0.012113791555653204-0.031040420578807817i        0
1.3922762096016707E-7     2.7514624086746443E-7    -2.1673452542437935E-7   0.031040419297906425+0.012113791055780261i        0.012113791055766942-0.03104041929789779i         0
1.359561133576295E-7      2.7097890948717367E-7    -2.405380762860286E-7    0.031040417337691178+0.012113790290789371i        0.012113790290776024-0.031040417337682376i        0
1.4023363020549132E-7     2.46838427868213E-7      -2.48003992003581E-7     0.03104041688158938+0.012113790112791678i         0.012113790112778416-0.03104041688158052i         0
1.4350513780802886E-7     2.5100575924850373E-7    -2.242004411419318E-7    0.031040418841804963+0.012113790877782683i        0.012113790877769336-0.03104041884179594i         0
1.2685423666050712E-7     2.405889140579017E-7     -2.1400034508273401E-7   0.03104041970170027+0.012113791213364308i         0.012113791213350988-0.03104041970169147i         0
1.1919572048735994E-7     1.9169707185814776E-7    -2.3847508677379257E-7   0.031040417950737066+0.012113790530035834i        0.012113790530022489-0.03104041795072832i         0
1.274303728829272E-7      2.0292490670854515E-7    -2.874188461139535E-7    0.031040413843400946+0.012113788927112396i        0.01211378892709905-0.031040413843391977i         0
1.249248909487809E-7      1.8170527083938956E-7    -2.579765573796445E-7    0.03104041641189851+0.012113789929490776i         0.01211378992947743-0.0310404164118896i           0
1.1447653739454999E-7     2.2023154150547119E-7    -2.3560744671471346E-7   0.03104041799637694+0.012113790547847123i         0.012113790547833833-0.031040417996368082i        0
1.1827551856805034E-7     2.2727914105154718E-7    -2.5720461303345124E-7   0.03104041617142832+0.012113789835645192i         0.012113789835631874-0.031040416171419297i        0
1.3057074381275006E-7     2.0789733806147655E-7    -2.686881398454722E-7    0.031040415377080497+0.012113789525644136i        0.012113789525630816-0.031040415377071806i        0
6.871210098261586E-8      2.8345691322644335E-7    -2.0201520584386078E-7   0.031040420248935285+0.012113791426927423i        0.012113791426914131-0.031040420248926538i        0
4.428648272550086E-8      2.730918445404267E-7     -1.8119622402938873E-7   0.031040421965858874+0.012113792096971644i        0.01211379209695827-0.03104042196584996i          0
